Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
34038135,6/18/2015 15:52:15,Male,Ghana,Ghana,Researcher (non-faculty),"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
19466835,6/18/2015 16:00:20,Male,Afghanistan,Afghanistan,Journalist,Social Sciences - Media and communications,Open Education,No,Open Education Week,Video Editing; Social Media Campaigns; Communications and Media; Volunteer Management
27448855,6/18/2015 16:03:38,Female,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week; Open Data Day,Community / Grassroots Organizing; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
60422549,6/18/2015 16:17:04,Male,Sri Lanka,Sri Lanka,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Research about OpenCon's Issue Areas
36124988,6/18/2015 16:31:43,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Political Science,Open Access,Yes,Open Education Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
17106069,6/18/2015 16:32:07,Male,France,Belgium,Researcher (non-faculty),Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Video Editing; Event Logistics; Volunteer Management
18727446,6/18/2015 16:41:23,Male,Ethiopia,United States of America,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Education Week,Coding; Research about OpenCon's Issue Areas
38999706,6/18/2015 16:46:13,Other: Transsexual,Germany,United Kingdom,Undergraduate student,Natural Sciences - Mathematics,Open Education,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Blogging; Research about OpenCon's Issue Areas
20798286,6/18/2015 16:47:00,Male,Brazil,Brazil,Faculty/teacher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Data Day,Coding; Video Editing; Volunteer Management; Research about OpenCon's Issue Areas
49252612,6/18/2015 16:50:43,Female,Ecuador,Ecuador,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Data,No,Open Access Week; Open Data Day,Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
74710649,6/18/2015 16:56:13,Female,Tanzania,Tanzania,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
34864515,6/18/2015 17:10:24,Male,Azerbaijan,Azerbaijan,Faculty/teacher,Social Sciences - Political Science,Open Education,No,Open Education Week,Social Media Campaigns; Communications and Media; Volunteer Management
26809384,6/18/2015 17:10:59,Male,Kenya,Turkey,Masters/professional student,Social Sciences - Economics and business,Open Data,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas; Other: Adocacy though poem writing
23571808,6/18/2015 17:18:17,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Economics and business,Open Data,Yes,Open Data Day,Graphic Design; Fundraising; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
86227049,6/18/2015 17:21:20,Male,Romania,Romania,Undergraduate student,Agricultural Sciences - Other agricultural sciences,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management
64122116,6/18/2015 17:30:28,Male,Nigeria,Nigeria,Faculty/teacher,None of these describes my field of study or expertise,Open Education,No,,Community / Grassroots Organizing; Advocacy and Policy; Volunteer Management
72401553,6/18/2015 17:35:35,Female,Thailand,Sweden,PhD candidate,Humanities - Other humanities,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
21833681,6/18/2015 18:03:58,Male,Nigeria,Nigeria,Civil servant / government employee,Social Sciences - Economics and business,Open Education,No,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management
11229306,6/18/2015 18:07:25,Male,United States of America,United States of America,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Fundraising; Event Logistics; Volunteer Management
86616467,6/18/2015 18:13:40,Male,United States of America,United States of America,PhD candidate,Natural Sciences - Biological sciences,Open Data,No,Open Access Week; Open Data Day,Coding; Graphic Design; Communications and Media; Blogging; Advocacy and Policy
34855409,6/18/2015 18:16:29,Male,Jamaica,Jamaica,Librarian,Humanities - Other humanities,Open Access,Yes,Open Access Week,Website Management / Design; Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management
21055610,6/18/2015 18:22:49,Male,Pakistan,Pakistan,PhD candidate,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Social Media Campaigns; Volunteer Management
70219334,6/18/2015 18:35:09,Male,United States of America,United States of America,PhD candidate,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,,Website Management / Design; Graphic Design; Video Editing; Fundraising; Communications and Media
16982718,6/18/2015 18:37:49,Male,Ireland,Ireland,Masters/professional student,Social Sciences - Psychology,Open Data,No,,Coding; Communications and Media; Research about OpenCon's Issue Areas
25908321,6/18/2015 18:41:02,Female,Ukraine,Poland,PhD candidate,Social Sciences - Sociology,Open Education,No,,Social Media Campaigns; Communications and Media
78482909,6/18/2015 18:58:56,Male,Cameroon,Turkey,Masters/professional student,Social Sciences - Social and economic geography,Open Access,Yes,Open Access Week,Social Media Campaigns; Blogging; Volunteer Management
41120100,6/18/2015 19:07:42,Female,Egypt,Egypt,Librarian,Social Sciences - Economics and business,Open Access,Yes,Open Access Week,Fundraising; Communications and Media; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
84979146,6/18/2015 19:55:09,Male,Zimbabwe,Zimbabwe,Faculty/teacher,Social Sciences - Media and communications,Open Access,Yes,Open Access Week,Website Management / Design; Fundraising; Communications and Media; Blogging; Research about OpenCon's Issue Areas
37568259,6/18/2015 20:04:28,Male,Kenya,Kenya,Undergraduate student,Social Sciences - Media and communications,Open Access,No,Open Access Week,Video Editing; Social Media Campaigns; Communications and Media; Blogging
39117368,6/18/2015 20:09:39,Male,Zambia,Algeria,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Social Media Campaigns; Blogging; Advocacy and Policy; Volunteer Management
26841338,6/18/2015 20:24:40,Female,Sudan,Sudan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,No,Open Access Week; Open Education Week,Video Editing; Social Media Campaigns; Communications and Media; Event Logistics; Research about OpenCon's Issue Areas
24337333,6/18/2015 21:04:23,Male,Uganda,Uganda,Lawyer,Social Sciences - Law,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics
24788992,6/18/2015 21:44:32,Male,Egypt,Egypt,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Education Week,Social Media Campaigns; Fundraising; Blogging; Event Logistics; Volunteer Management
13356404,6/18/2015 22:00:17,Male,South Korea,South Korea,Researcher (non-faculty),"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,Open Education Week,
39335840,6/18/2015 22:25:02,Female,Syria,Syria,Undergraduate student,Natural Sciences - Biological sciences,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Fundraising; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
38741627,6/18/2015 22:43:24,Female,Indonesia,Indonesia,Undergraduate student,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Education Week,Coding; Website Management / Design; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
97590554,6/18/2015 23:09:19,Male,Egypt,United States of America,PhD candidate,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Access Week; Open Education Week,Website Management / Design; Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
31985541,6/18/2015 23:41:01,Female,South Korea,South Korea,Undergraduate student,"Humanities - Art (arts, history of arts, performing arts, music)",Open Data,Yes,,Website Management / Design; Graphic Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging
47483332,6/18/2015 23:41:44,Male,Ethiopia,India,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week,Website Management / Design; Video Editing; Community / Grassroots Organizing; Volunteer Management; Research about OpenCon's Issue Areas
17245696,6/19/2015 0:05:14,Male,Malawi,Malawi,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
39876369,6/19/2015 0:13:43,Male,India,India,PhD candidate,Natural Sciences - Biological sciences,Open Access,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Communications and Media; Event Logistics
82632980,6/19/2015 0:30:41,Female,Sri Lanka,Sri Lanka,Masters/professional student,Social Sciences - Law,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
37791316,6/19/2015 1:01:19,Male,Egypt,Canada,Researcher (non-faculty),Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Social Media Campaigns; Event Logistics; Research about OpenCon's Issue Areas
40926338,6/19/2015 1:11:38,Male,Sri Lanka,Sri Lanka,Undergraduate student,Social Sciences - Other social sciences,Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
29431693,6/19/2015 1:19:19,Female,Mauritius,Mauritius,Faculty/teacher,Social Sciences - Educational sciences,Open Education,Yes,Open Education Week,Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
17070145,6/19/2015 1:25:44,Female,Pakistan,Pakistan,Researcher (non-faculty),Social Sciences - Psychology,Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
39862081,6/19/2015 1:58:19,Male,Ghana,Russia,Masters/professional student,Social Sciences - Economics and business,Open Data,No,,Community / Grassroots Organizing; Fundraising; Blogging; Event Logistics; Volunteer Management
32006584,6/19/2015 1:59:29,Female,Azerbaijan,Azerbaijan,Researcher (non-faculty),Natural Sciences - Physical sciences,Open Education,No,Open Education Week,
36681300,6/19/2015 2:05:22,Female,Ukraine,Ukraine,Faculty/teacher,Humanities - Languages and literature,Open Education,No,,Website Management / Design; Communications and Media; Volunteer Management
12527942,6/19/2015 2:24:14,Male,Pakistan,Pakistan,Other: Faculty (PhD Candidate),"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,Yes,Open Education Week; Open Data Day,Coding; Website Management / Design; Blogging
